problem;trial;r2_train;r2_test;seed
690_visualizing_galaxy;1;0.9657924238163759;0.9692267789680069;29802
690_visualizing_galaxy;2;0.9684304798316039;0.9513042187460473;22118
690_visualizing_galaxy;3;0.9723687540923115;0.9593230554018062;860
690_visualizing_galaxy;4;0.9726620914118438;0.9481456106753172;15795
690_visualizing_galaxy;5;0.968541041961348;0.9652952342395551;21575
690_visualizing_galaxy;6;0.9666392794448734;0.9753510613379904;5390
690_visualizing_galaxy;7;0.968136612967248;0.972321626761227;11964
690_visualizing_galaxy;8;0.9698466434731323;0.9629781529693879;6265
690_visualizing_galaxy;9;0.9723399319001489;0.9621859070430977;23654
690_visualizing_galaxy;10;0.9730768455209553;0.9679069669256528;11284
