problem;trial;r2_train;r2_test;seed
519_vinnie;1;0.778064332036953;0.6748797138263742;29802
519_vinnie;2;0.7670949723082622;0.7011612077288334;22118
519_vinnie;3;0.7404644581023311;0.7810698905726365;860
519_vinnie;4;0.7557205123459001;0.7422420153961651;15795
519_vinnie;5;0.7713875709908657;0.6900299487722288;21575
519_vinnie;6;0.771845486331053;0.7108348972477119;5390
519_vinnie;7;0.7572075674163686;0.7147332995367801;11964
519_vinnie;8;0.7429626211025838;0.7790843508176507;6265
519_vinnie;9;0.7490936656635323;0.769534352985476;23654
519_vinnie;10;0.7635739787535201;0.7251627064505871;11284
