problem;trial;r2_train;r2_test;seed
225_puma8NH;1;0.6705324281799827;0.6469760131302198;29802
225_puma8NH;2;0.6529416250592445;0.6648667830014574;22118
225_puma8NH;3;0.668872418199597;0.6691440462049962;860
225_puma8NH;4;0.6698248185101057;0.669578706012151;15795
225_puma8NH;5;0.6806162807788343;0.6962678620000038;21575
225_puma8NH;6;0.6557342826799404;0.6791402248205318;5390
225_puma8NH;7;0.6705031948803878;0.668675527501577;11964
225_puma8NH;8;0.6696418552266217;0.6668672891980192;6265
225_puma8NH;9;0.6809417218834979;0.6641877090939536;23654
225_puma8NH;10;0.6778308230365331;0.6596977025598376;11284
